"label"	"file"	"line"	"pattern"	"text"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1496"	"grib"	"raise RuntimeError(f""Could not delimit first GRIB message using next GRIB within {max_scan_bytes} bytes for {src}"")"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1563"	"eccodes"	"[""eccodes_for_gfas"", ""REJECTED_OR_FORBIDDEN"", ""PASS"", ""ecCodes is not used as GFAS decoder backend.""],"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1572"	"eccodes"	"[""eccodes_for_gfas"", ""REJECTED_OR_FORBIDDEN"", ""PASS"", ""ecCodes is not used as GFAS decoder backend.""],"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1611"	"GRIB"	"edge_summary = gfas_dir / ""_grib_edge_summary.csv"""
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1611"	"grib"	"edge_summary = gfas_dir / ""_grib_edge_summary.csv"""
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1622"	"GRIB"	"raise RuntimeError(""No PM2P5FIRE candidate rows found in _grib_edge_summary.csv"")"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1622"	"grib"	"raise RuntimeError(""No PM2P5FIRE candidate rows found in _grib_edge_summary.csv"")"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1635"	"GRIB"	"src_grib = gfas_dir / file_name"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1635"	"grib"	"src_grib = gfas_dir / file_name"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1636"	"GRIB"	"if not src_grib.exists():"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1636"	"grib"	"if not src_grib.exists():"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1646"	"GRIB"	"extracted_msg = qa_dir / f""gfas_pm2p5fire_{year_int}_message1.grib"""
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1646"	"grib"	"extracted_msg = qa_dir / f""gfas_pm2p5fire_{year_int}_message1.grib"""
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1647"	"GRIB"	"next_idx, payload_bytes = _extract_first_message_by_next_grib(src_grib, extracted_msg)"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1647"	"grib"	"next_idx, payload_bytes = _extract_first_message_by_next_grib(src_grib, extracted_msg)"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1675"	"gfas_pm2p5fire_gdal"	"methods[year_int] = ""gfas_pm2p5fire_gdal_message1_negative_lon_proxy"""
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1682"	"GRIB"	"str(src_grib),"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1682"	"grib"	"str(src_grib),"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1713"	"gfas_pm2p5fire_gdal"	"""method"": ""gfas_pm2p5fire_gdal_negative_lon"","
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1742"	"GRIB"	"""source_grib_path"","
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1742"	"grib"	"""source_grib_path"","
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1745"	"GRIB"	"""next_grib_offset"","
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1745"	"grib"	"""next_grib_offset"","
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1782"	"GRIB"	"era5_vsi = f""/vsizip/{era5_zip.as_posix()}/data.grib"""
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1782"	"grib"	"era5_vsi = f""/vsizip/{era5_zip.as_posix()}/data.grib"""
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1788"	"GRIB"	"has_10u = (""10 metre u wind component"" in low_info) or (""grib_element=10u"" in low_info)"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1788"	"grib"	"has_10u = (""10 metre u wind component"" in low_info) or (""grib_element=10u"" in low_info)"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1789"	"GRIB"	"has_10v = (""10 metre v wind component"" in low_info) or (""grib_element=10v"" in low_info)"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1789"	"grib"	"has_10v = (""10 metre v wind component"" in low_info) or (""grib_element=10v"" in low_info)"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1905"	"v0_gfas_era5_real"	"elif route_selected == ""v0_gfas_era5_real"":"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1908"	"v0_gfas_era5_real"	"report.fail(""v0_gfas_era5_real selected but decoder payload is unavailable."")"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1914"	"v0_gfas_era5_real"	"report.fail(""v0_gfas_era5_real selected but by_year decoder output is empty."")"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1929"	"v0_gfas_era5_real"	"if route_selected == ""v0_gfas_era5_real"" and global_replicated_assignment and decoder_payload:"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1936"	"gfas_pm2p5fire_gdal"	"vals_u, meth_u = _fill_smoke_year_series_relaxed(anchors, ""gfas_pm2p5fire_gdal_unit"")"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1969"	"gfas_pm2p5fire_gdal"	"smoke_method = unit_year_methods.get(uid, {}).get(y, ""gfas_pm2p5fire_gdal_unit_unknown"")"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1975"	"v0_gfas_era5_real"	"if route_selected == ""v0_gfas_era5_real"" and global_replicated_assignment:"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1982"	"missing_flag"	"[""unit_id"", ""year"", ""smoke_days"", ""smoke_score_mean"", ""smoke_score_p80"", ""smoke_method"", ""smoke_missing_flag""],"
