"Root","FilePath","LineNumber","Match","Classification","Reason","Line"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","692","deliverables_step9","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","Add-MatrixRow ""No uso activo de deliverables_step9 historico"" ""Solo historico"" ""Clasificado historico/no baseline"" ""B2_baseline_coherence_matrix.csv"" ""MEDIUM"" $false ""PASS"""
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","693","run_pipeline_debug_v5.py;run_pipeline_debug_v5.py","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","Add-MatrixRow ""No runners legacy activos"" ""Sin ejecucion via v5"" (""runner={0}"" -f $effectiveRunner) ""B3_1_active_pipeline_contract.md"" ""HIGH"" ($effectiveRunner -eq ""run_pipeline_debug_v5.py"") $(if ($effectiveRunner -ne ""run_pipeline_debug_v5.py"") { ""PASS"" } else { ""HOLD"" })"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","86","Complementariedad de analisi_sin base de datos;Complementariedad de analisi_sin base de datos","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","@{ RootBucket = ""Complementariedad de analisi_sin base de datos""; Path = (Join-Path $gataRoot ""Complementariedad de analisi_sin base de datos"") },"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","127","HOST_ROOT;HOST_ROOT;HOST_ROOT","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","Add-WrapperCheck ""HOST_ROOT activo ausente"" (-not ($wText -match ""HOST_ROOT="")) ""No aparece HOST_ROOT="""
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","134","03_outputs__BACKUP","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","Add-WrapperCheck ""Sin referencias backup en wrapper"" (-not ($wText -match ""03_outputs__BACKUP_"")) 'No backup path'"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","237","deliverables_step9","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","""deliverables_step9"","
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","238","deliverables_step9","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","""deliverables_step9\final_manifest.json"","
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","239","deliverables_step9","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","""deliverables_step9\final_sha256_checkpoints.txt"""
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","245","03_outputs__BACKUP;03_outputs__BACKUP","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","Add-ManifestRow ""HISTORICAL"" ""03_outputs__BACKUP_20260121_235500"" (Join-Path $modulec ""03_outputs__BACKUP_20260121_235500"") ""HISTORICAL_ONLY"" ""NOT_RUNTIME_TRUTH"" """""
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","246","deliverables_step9;03_outputs__BACKUP;deliverables_step9","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","Add-ManifestRow ""HISTORICAL"" ""deliverables_step9 backup"" (Join-Path $modulec ""03_outputs__BACKUP_20260121_235500\deliverables_step9"") ""HISTORICAL_ONLY"" ""NOT_RUNTIME_TRUTH"" """""
