"FilePath","LineNumber","Pattern","MatchText","Classification","IsActiveRef"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","428","BACKUP_OUTPUT","Exists = (Test-Path -LiteralPath (Join-Path $modulecRoot ""03_outputs__BACKUP_20260121_235500""))","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","451","SIN_BD_SOURCE","Path   = (Join-Path $gataRoot ""Complementariedad de analisi_sin base de datos"")","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","452","SIN_BD_SOURCE","Exists = (Test-Path -LiteralPath (Join-Path $gataRoot ""Complementariedad de analisi_sin base de datos""))","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","609","RUNNER_V5","$v5Hits = (Select-String -LiteralPath $m -Pattern ""run_pipeline_debug_v5.py"" -SimpleMatch -ErrorAction SilentlyContinue).Count","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","693","RUNNER_V5","Add-MatrixRow ""No runners legacy activos"" ""Sin ejecucion via v5"" (""runner={0}"" -f $effectiveRunner) ""B3_1_active_pipeline_contract.md"" ""HIGH"" ($effectiveRunner -eq ""run_pipeline_debug_v5.py"") $(if ($effectiveRunner -ne ""run_pipeline_debug_v5.py"") { ""PASS"" } else { ""HOLD"" })","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","2","LEGACY_EXTERNAL_ROOT","[string]$RepoRoot = ""D:\Mestrado\GATA_2025_2026\Prueba_aislada"",","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","3","LEGACY_EXTERNAL_ROOT","[string]$ControlRoot = ""D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808""","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","27","LEGACY_EXTERNAL_ROOT","@{ Key = ""HOST_ROOT_EXACT""; Type = ""Simple""; Val = ""HOST_ROOT=D:\Mestrado\GATA_2025_2026"" },","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","27","HOST_ROOT_EXACT","@{ Key = ""HOST_ROOT_EXACT""; Type = ""Simple""; Val = ""HOST_ROOT=D:\Mestrado\GATA_2025_2026"" },","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","29","BACKUP_OUTPUT","@{ Key = ""BACKUP_OUTPUT""; Type = ""Simple""; Val = ""03_outputs__BACKUP_20260121_235500"" },","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","30","PIPELINE_LOCAL_OUTPUT","@{ Key = ""PIPELINE_LOCAL_OUTPUT""; Type = ""Simple""; Val = ""_qa_catalogs\moduleC_local_pipeline\03_outputs"" },","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","31","DATOS_DEPRECATED_OUTPUT","@{ Key = ""DATOS_DEPRECATED_OUTPUT""; Type = ""Simple""; Val = ""Module C\Datos\03_outputs"" },","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","32","SIN_BD_SOURCE","@{ Key = ""SIN_BD_SOURCE""; Type = ""Simple""; Val = ""Complementariedad de analisi_sin base de datos"" },","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","33","RUNNER_V5","@{ Key = ""RUNNER_V5""; Type = ""Simple""; Val = ""run_pipeline_debug_v5.py"" },","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","34","BACKUP_OUTPUT","@{ Key = ""DELIVERABLES_STEP9_BACKUP""; Type = ""Regex""; Val = ""deliverables_step9.*03_outputs__BACKUP_20260121_235500|03_outputs__BACKUP_20260121_235500.*deliverables_step9"" },","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","34","DELIVERABLES_STEP9_BACKUP","@{ Key = ""DELIVERABLES_STEP9_BACKUP""; Type = ""Regex""; Val = ""deliverables_step9.*03_outputs__BACKUP_20260121_235500|03_outputs__BACKUP_20260121_235500.*deliverables_step9"" },","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","35","FINAL_MANIFEST_HIST","@{ Key = ""FINAL_MANIFEST_HIST""; Type = ""Simple""; Val = ""final_manifest.json"" },","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","36","FINAL_SHA_HIST","@{ Key = ""FINAL_SHA_HIST""; Type = ""Simple""; Val = ""final_sha256_checkpoints.txt"" }","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","238","FINAL_MANIFEST_HIST","""deliverables_step9\final_manifest.json"",","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","239","FINAL_SHA_HIST","""deliverables_step9\final_sha256_checkpoints.txt""","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","245","BACKUP_OUTPUT","Add-ManifestRow ""HISTORICAL"" ""03_outputs__BACKUP_20260121_235500"" (Join-Path $modulec ""03_outputs__BACKUP_20260121_235500"") ""HISTORICAL_ONLY"" ""NOT_RUNTIME_TRUTH"" """"","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","246","DELIVERABLES_STEP9_BACKUP","Add-ManifestRow ""HISTORICAL"" ""deliverables_step9 backup"" (Join-Path $modulec ""03_outputs__BACKUP_20260121_235500\deliverables_step9"") ""HISTORICAL_ONLY"" ""NOT_RUNTIME_TRUTH"" """"","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","246","BACKUP_OUTPUT","Add-ManifestRow ""HISTORICAL"" ""deliverables_step9 backup"" (Join-Path $modulec ""03_outputs__BACKUP_20260121_235500\deliverables_step9"") ""HISTORICAL_ONLY"" ""NOT_RUNTIME_TRUTH"" """"","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","249","RUNNER_V5","Add-ManifestRow ""HISTORICAL"" ""run_pipeline_debug_v5.py"" (Join-Path $pipeline ""_archive_obsolete_20260115_0123\run_pipeline_debug_v5.py"") ""OBSOLETE_RUNNER"" ""NOT_RUNTIME_TRUTH"" """"","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","284","FINAL_SHA_HIST","$crt += ""- Regenerar en runtime: report_auditoria_v2.txt, smoke_days_unit_2015_2024.csv, deliverables_step9, final_manifest.json, final_sha256_checkpoints.txt""","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_2_post.ps1","284","FINAL_MANIFEST_HIST","$crt += ""- Regenerar en runtime: report_auditoria_v2.txt, smoke_days_unit_2015_2024.csv, deliverables_step9, final_manifest.json, final_sha256_checkpoints.txt""","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_gate.py","132","LEGACY_EXTERNAL_ROOT","repo_root = Path(r""D:\Mestrado\GATA_2025_2026\Prueba_aislada"")","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_gate.py","137","BACKUP_OUTPUT","backup_root = modulec_root / ""03_outputs__BACKUP_20260121_235500""","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_gate.py","339","BACKUP_OUTPUT","""BACKUP_OUTPUT_PATH"": re.compile(r""03_outputs__BACKUP_20260121_235500"", re.IGNORECASE),","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_gate.py","343","DELIVERABLES_STEP9_BACKUP","""DELIVERABLES_STEP9_BACKUP"": re.compile(r""03_outputs__BACKUP_20260121_235500.*deliverables_step9|deliverables_step9.*03_outputs__BACKUP_20260121_235500"", re.IGNORECASE),","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_gate.py","343","BACKUP_OUTPUT","""DELIVERABLES_STEP9_BACKUP"": re.compile(r""03_outputs__BACKUP_20260121_235500.*deliverables_step9|deliverables_step9.*03_outputs__BACKUP_20260121_235500"", re.IGNORECASE),","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_gate.py","418","FINAL_MANIFEST_HIST","has_final_manifest = ""final_manifest.json"" in deliver_files","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_gate.py","419","FINAL_SHA_HIST","has_final_sha = ""final_sha256_checkpoints.txt"" in deliver_files","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_gate.py","609","FINAL_SHA_HIST","post.append(""9. Validar `final_manifest.json` y `final_sha256_checkpoints.txt` nuevos."")","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_gate.py","609","FINAL_MANIFEST_HIST","post.append(""9. Validar `final_manifest.json` y `final_sha256_checkpoints.txt` nuevos."")","CONTROL_SCRIPT_REFERENCE","False"
